idmedicamento,nombremedicamento,nombrelaboratorio,concentracion,princioactivo,acccionterapeutica,precioconvenio,precioLista,idFarmacia,nombrefarmacia,fecha_proceso
23297,2 UNIDADES CASTING GLOSS 200 NEGRO,LOREAL CHILE S.A.,,,TINTURAS,13798,,2,SALCOBRAND,2023-01-20
23298,2 UNIDADES CASTING GLOSS 300 CASTANO OSCURO,LOREAL CHILE S.A.,,,TINTURAS,13798,,2,SALCOBRAND,2023-01-20
23299,2 UNIDADES CASTING GLOSS 500 CASTANO CLARO,LOREAL CHILE S.A.,,,TINTURAS,13798,,2,SALCOBRAND,2023-01-20
23300,2 UNIDADES CASTING GLOSS 400 CASTANO NATURAL,LOREAL CHILE S.A.,,,TINTURAS,13798,,2,SALCOBRAND,2023-01-20
23301,2 UNIDADES CASTING GLOSS 600 RUBIO OSCURO,LOREAL CHILE S.A.,,,TINTURAS,13798,,2,SALCOBRAND,2023-01-20
23302,2 UNIDADES CASTING GLOSS 210 NEGRO AZULADO,LOREAL CHILE S.A.,,,TINTURAS,13798,,2,SALCOBRAND,2023-01-20
23304,2 UNIDADES CASTING GLOSS 550 CAOBA,LOREAL CHILE S.A.,,,TINTURAS,13798,,2,SALCOBRAND,2023-01-20
23305,2 UNIDADES CASTING GLOSS 535 CHOCOLATE,LOREAL CHILE S.A.,,,TINTURAS,13798,,2,SALCOBRAND,2023-01-20
23853,100% WHEY PROTEIN CHOCO. VLPRO X2LB,VITAMIN LIFE,,SUPLEMENTO ALIMENTICIO DEPORTIVO,SUPLEMENTOS,35199,43999.0,2,SALCOBRAND,2023-01-20
23854,100% WHEY PROTEIN C&CREAM VLPRO X2LB,VITAMIN LIFE,,SUPLEMENTO ALIMENTICIO DEPORTIVO,SUPLEMENTOS,35199,43999.0,2,SALCOBRAND,2023-01-20
23052,2 UNIDADES EXCELLENCE N6 RUBIO OSCURO ESTU.,LOREAL CHILE S.A.,,,TINTURAS,13798,,2,SALCOBRAND,2023-01-20
23054,2 UNIDADES EXCELLENCE N5 CASTANO CLARO NATU.ESTU.,LOREAL CHILE S.A.,,,TINTURAS,13798,,2,SALCOBRAND,2023-01-20
23057,2 UNIDADES EXCELLENCE N4 CASTANO NATU.ESTU.,LOREAL CHILE S.A.,,,TINTURAS,13798,,2,SALCOBRAND,2023-01-20
23073,2 UNIDADES EXCELLENCE N500 BRUNETTES,LOREAL CHILE S.A.,,,TINTURAS,13798,,2,SALCOBRAND,2023-01-20
23074,2 UNIDADES EXCELLENCE N5.3 CASTANO CLARO DORADO ESTU.,LOREAL CHILE S.A.,,,TINTURAS,13798,,2,SALCOBRAND,2023-01-20
23076,2 UNIDADES EXCELLENCE BLEACH SUP RUB.CLARO,LOREAL CHILE S.A.,,,TINTURAS,13798,,2,SALCOBRAND,2023-01-20
23077,2 UNIDADES EXCELLENCE N400 BRUNETTES,LOREAL CHILE S.A.,,,TINTURAS,13798,,2,SALCOBRAND,2023-01-20
23079,2 UNIDADES EXCELLENCE CC TONO 710,LOREAL CHILE S.A.,,,TINTURAS,13798,,2,SALCOBRAND,2023-01-20
23303,2 UNIDADES CASTING GLOSS 630 CARAMELO,LOREAL CHILE S.A.,,,TINTURAS,13798,,2,SALCOBRAND,2023-01-20
23306,2 UNIDADES CASTING GLOSS N670 CHOC.CARAMELO,LOREAL CHILE S.A.,,,TINTURAS,13798,,2,SALCOBRAND,2023-01-20
23051,2 UNIDADES EXCELLENCE N7 RUBIO NATU.ESTU.,LOREAL CHILE S.A.,,,TINTURAS,13798,,2,SALCOBRAND,2023-01-20
23053,2 UNIDADES EXCELLENCE N7.1 RUBIO CENIZA ESTU.,LOREAL CHILE S.A.,,,TINTURAS,13798,,2,SALCOBRAND,2023-01-20
