idMedicamento,nombreMedicamento,principioActivo,accionTerapeutico
23854,100% WHEY PROTEIN C&CREAM VLPRO X2LB,SUPLEMENTO ALIMENTICIO DEPORTIVO,SUPLEMENTOS
23853,100% WHEY PROTEIN CHOCO. VLPRO X2LB,SUPLEMENTO ALIMENTICIO DEPORTIVO,SUPLEMENTOS
23297,2 UNIDADES CASTING GLOSS 200 NEGRO,,TINTURAS
23302,2 UNIDADES CASTING GLOSS 210 NEGRO AZULADO,,TINTURAS
23298,2 UNIDADES CASTING GLOSS 300 CASTANO OSCURO,,TINTURAS
23300,2 UNIDADES CASTING GLOSS 400 CASTANO NATURAL,,TINTURAS
23299,2 UNIDADES CASTING GLOSS 500 CASTANO CLARO,,TINTURAS
23305,2 UNIDADES CASTING GLOSS 535 CHOCOLATE,,TINTURAS
23304,2 UNIDADES CASTING GLOSS 550 CAOBA,,TINTURAS
23301,2 UNIDADES CASTING GLOSS 600 RUBIO OSCURO,,TINTURAS
23303,2 UNIDADES CASTING GLOSS 630 CARAMELO,,TINTURAS
23306,2 UNIDADES CASTING GLOSS N670 CHOC.CARAMELO,,TINTURAS
23076,2 UNIDADES EXCELLENCE BLEACH SUP RUB.CLARO,,TINTURAS
23079,2 UNIDADES EXCELLENCE CC TONO 710,,TINTURAS
23057,2 UNIDADES EXCELLENCE N4 CASTANO NATU.ESTU.,,TINTURAS
23077,2 UNIDADES EXCELLENCE N400 BRUNETTES,,TINTURAS
23054,2 UNIDADES EXCELLENCE N5 CASTANO CLARO NATU.ESTU.,,TINTURAS
23074,2 UNIDADES EXCELLENCE N5.3 CASTANO CLARO DORADO ESTU.,,TINTURAS
23073,2 UNIDADES EXCELLENCE N500 BRUNETTES,,TINTURAS
23052,2 UNIDADES EXCELLENCE N6 RUBIO OSCURO ESTU.,,TINTURAS
23059,2 UNIDADES EXCELLENCE N6.1 RUBIO OSCURO CENIZA ESTU.,,TINTURAS
23065,2 UNIDADES EXCELLENCE N6.11 RUBIO OSCURO CENIZA PROFUNDO ESTU,,TINTURAS
23068,2 UNIDADES EXCELLENCE N6.111 CENIZO MAT SUPREME,,TINTURAS
23060,2 UNIDADES EXCELLENCE N6.17 R.OSCURO CENIZO MATTE,,TINTURAS
23070,2 UNIDADES EXCELLENCE N6.34 RUBIO OSCURO CENIZA DORADO ESTU.,,TINTURAS
23058,2 UNIDADES EXCELLENCE N6.7 CHOCOLATE PURO ESTU.,,TINTURAS
23078,2 UNIDADES EXCELLENCE N6660 ROJO EXT.PROFUNDO,,TINTURAS
23051,2 UNIDADES EXCELLENCE N7 RUBIO NATU.ESTU.,,TINTURAS
23053,2 UNIDADES EXCELLENCE N7.1 RUBIO CENIZA ESTU.,,TINTURAS
23056,2 UNIDADES EXCELLENCE N7.11 RUBIO CENIZA PROFUNDO ESTU.,,TINTURAS
23062,2 UNIDADES EXCELLENCE N7.17 R.CENIZO MATTE,,TINTURAS
23055,2 UNIDADES EXCELLENCE N8 RUBIO CLARO NATU. ESTU.,,TINTURAS
23061,2 UNIDADES EXCELLENCE N8.1 RUBIO CLARO CENIZA ESTU.,,TINTURAS
23071,2 UNIDADES EXCELLENCE N8.11 RUBIO CLARO CENIZA PROFUNDO ESTU.,,TINTURAS
23067,2 UNIDADES EXCELLENCE N8.17 R.CLARO CENIZO MATTE,,TINTURAS
23075,2 UNIDADES EXCELLENCE N9 RUBIO CLARO ESTU.,,TINTURAS
23063,2 UNIDADES EXCELLENCE N9.1 RUBIO CLARO CENIZA ESTU.,,TINTURAS
23064,2 UNIDADES EXCELLENCE N9.17 R.MUY CLARO CENIZO MATTE,,TINTURAS
